mol,Molecular weight,logP,donorcount,acceptorcount,logD[pH=7.4],bpKa1,polar surface area,fsp3,Heavy atom count,Rotatable bonds
NCGC EXT_IDNPC-7396787,161.224,-4.14,1,1,-4.14,15.3,52.32,0.86,11,4
JHU- 6139,98.145,0.93,1,1,0.93,15.8,20.23,0.67,7,1
Meparfynol,98.145,0.93,1,1,0.93,15.8,20.23,0.67,7,1
NCGC EXT_IDNPC-7396659,98.145,0.93,1,1,0.93,15.8,20.23,0.67,7,1
JHU- 1254,311.469,3.54,1,2,1.64,9.3,23.47,0.62,23,5
NCGC EXT_IDNPC-7396653,311.469,3.54,1,2,1.64,9.3,23.47,0.62,23,5
JHU- 8942,124.139,0.9,2,2,0.9,9.92,40.46,0.14,9,1
NCGC EXT_IDNPC-7396520,124.139,0.9,2,2,0.9,9.92,40.46,0.14,9,1
JHU- 10165,318.6,1.32,4,6,-3.47,1.03,115.06,0.14,17,4
NCGC EXT_IDNPC-7396503,318.6,1.32,4,6,-3.47,1.03,115.06,0.14,17,4
JHU- 8,241.25,1.44,2,4,1.42,8.73,74.58,0,18,3
NCGC EXT_IDNPC-7396257,241.25,1.44,2,4,1.42,8.73,74.58,0,18,3
buspirone,385.512,1.78,0,6,1.35,7.62,69.64,0.71,28,6
JHU- 1493,385.512,1.78,0,6,1.35,7.62,69.64,0.71,28,6
BUSPIRONE,385.512,1.78,0,6,1.35,7.62,69.64,0.71,28,6
NCGC EXT_IDNPC-7395899,385.512,1.78,0,6,1.35,7.62,69.64,0.71,28,6
JHU- 585,186.214,1.07,1,2,1.07,3.84,46.33,0,14,1
NCGC EXT_IDNPC-7395740,186.214,1.07,1,2,1.07,3.84,46.33,0,14,1
JHU- 5772,211.217,-0.17,3,4,-0.17,2.69,92.78,0.3,15,5
NCGC EXT_IDNPC-7395707,211.217,-0.17,3,4,-0.17,2.69,92.78,0.3,15,5
Eniluracil,136.11,-0.82,2,2,-0.85,8.54,58.2,0,10,0
JHU- 3580,136.11,-0.82,2,2,-0.85,8.54,58.2,0,10,0
NCGC EXT_IDNPC-7395487,136.11,-0.82,2,2,-0.85,8.54,58.2,0,10,0
JHU- 9995,286.44,3.75,0,2,2.44,8.69,6.48,0.41,20,4
NCGC EXT_IDNPC-7395262,286.44,3.75,0,2,2.44,8.69,6.48,0.41,20,4
JHU- 9145,1143.27,-2.41,13,16,-9.27,-2.04,426.8,0.39,78,33
NCGC EXT_IDNPC-7394723,1143.27,-2.41,13,16,-9.27,-2.04,426.8,0.39,78,33
JHU- 7684,188.02,2.78,0,0,2.78,,0,1,11,2
NCGC EXT_IDNPC-7394625,188.02,2.78,0,0,2.78,,0,1,11,2
JHU- 2834,371.433,2.08,1,6,-0.18,9.7,66.02,0.38,27,5
NCGC EXT_IDNPC-7393600,371.433,2.08,1,6,-0.18,9.7,66.02,0.38,27,5
dyphylline,254.246,-1.87,2,5,-1.87,13.9,98.9,0.5,18,3
JHU- 3409,254.246,-1.87,2,5,-1.87,13.9,98.9,0.5,18,3
Dyphylline,254.246,-1.87,2,5,-1.87,13.9,98.9,0.5,18,3
NCGC EXT_IDNPC-7393319,254.246,-1.87,2,5,-1.87,13.9,98.9,0.5,18,3
JHU- 2086,303.83,4.4,0,2,2.92,8.87,12.47,0.33,21,6
Chlorphenoxamide,303.83,4.4,0,2,2.92,8.87,12.47,0.33,21,6
NCGC EXT_IDNPC-7393137,303.83,4.4,0,2,2.92,8.87,12.47,0.33,21,6
JHU- 1539,411.77,6.55,0,1,6.51,6.51,17.82,0.21,25,7
NCGC EXT_IDNPC-7392642,411.77,6.55,0,1,6.51,6.51,17.82,0.21,25,7
JHU- 8526,232.327,2.54,1,2,2.26,7.35,32.34,0.5,17,3
NCGC EXT_IDNPC-7392218,232.327,2.54,1,2,2.26,7.35,32.34,0.5,17,3
methoxamine,211.261,0.57,2,4,-1.28,9.28,64.71,0.45,15,4
JHU- 6323,211.261,0.57,2,4,-1.28,9.28,64.71,0.45,15,4
Methoxamine,211.261,0.57,2,4,-1.28,9.28,64.71,0.45,15,4
NCGC EXT_IDNPC-7391993,211.261,0.57,2,4,-1.28,9.28,64.71,0.45,15,4
JHU- 3337,378.516,3.23,0,3,3.01,7.23,32.78,0.46,28,6
Doxapram,378.516,3.23,0,3,3.01,7.23,32.78,0.46,28,6
NCGC EXT_IDNPC-7391516,378.516,3.23,0,3,3.01,7.23,32.78,0.46,28,6
JHU- 2997,293.43,3.48,0,4,1.6,9.28,28.6,0.53,20,7
NCGC EXT_IDNPC-7391514,293.43,3.48,0,4,1.6,9.28,28.6,0.53,20,7
JHU- 3809,256.309,2.92,2,5,2.92,3.51,85.99,0.14,19,4
NCGC EXT_IDNPC-7391500,256.309,2.92,2,5,2.92,3.51,85.99,0.14,19,4
clonidine,230.09,2.49,2,3,1.66,8.16,36.42,0.22,14,1
JHU- 2387,230.09,2.49,2,3,1.66,8.16,36.42,0.22,14,1
307_FDAMDD_v3b,230.09,2.49,2,3,1.66,8.16,36.42,0.22,14,1
NCGC EXT_IDNPC-7391426,230.09,2.49,2,3,1.66,8.16,36.42,0.22,14,1
JHU- 3165,358.46,3.54,0,4,2.06,8.87,42.01,0.32,25,7
NCGC EXT_IDNPC-7391418,358.46,3.54,0,4,2.06,8.87,42.01,0.32,25,7
meclizine,390.96,6.39,0,2,5.91,7.71,6.48,0.28,28,5
JHU- 6045,390.96,6.39,0,2,5.91,7.71,6.48,0.28,28,5
MECLIZINE,390.96,6.39,0,2,5.91,7.71,6.48,0.28,28,5
NCGC EXT_IDNPC-7391393,390.96,6.39,0,2,5.91,7.71,6.48,0.28,28,5
chlorpropamide,276.74,1.94,2,3,1,3.33,75.27,0.3,17,3
JHU- 2092,276.74,1.94,2,3,1,3.33,75.27,0.3,17,3
CHLORPROPAMIDE,276.74,1.94,2,3,1,3.33,75.27,0.3,17,3
NCGC EXT_IDNPC-7391340,276.74,1.94,2,3,1,3.33,75.27,0.3,17,3
malathion,330.35,1.86,0,2,1.86,-6.82,71.06,0.8,19,11
JHU- 5962,330.35,1.86,0,2,1.86,-6.82,71.06,0.8,19,11
NCGC EXT_IDNPC-7391096,330.35,1.86,0,2,1.86,-6.82,71.06,0.8,19,11
albendazole,265.33,3.2,2,3,3.2,9.68,67.01,0.33,18,5
JHU- 226,265.33,3.2,2,3,3.2,9.68,67.01,0.33,18,5
24_FDAMDD_v3b,265.33,3.2,2,3,3.2,9.68,67.01,0.33,18,5
NCGC EXT_IDNPC-7390788,265.33,3.2,2,3,3.2,9.68,67.01,0.33,18,5
dicyclomine,309.494,4.93,0,2,3.36,8.96,29.54,0.95,22,8
JHU- 3061,309.494,4.93,0,2,3.36,8.96,29.54,0.95,22,8
DICYCLOMINE,309.494,4.93,0,2,3.36,8.96,29.54,0.95,22,8
NCGC EXT_IDNPC-7390773,309.494,4.93,0,2,3.36,8.96,29.54,0.95,22,8
JHU- 12090,223.272,1.97,2,3,1.95,8.86,58.56,0.42,16,6
NCGC EXT_IDNPC-7390666,223.272,1.97,2,3,1.95,8.86,58.56,0.42,16,6
Dapsone,248.3,1.27,2,4,1.27,2.39,86.18,0,17,2
JHU- 2749,248.3,1.27,2,4,1.27,2.39,86.18,0,17,2
4-aminophenyl_sulfone,248.3,1.27,2,4,1.27,2.39,86.18,0,17,2
NCGC EXT_IDNPC-7390363,248.3,1.27,2,4,1.27,2.39,86.18,0,17,2
JHU- 35,178.275,4.47,1,1,4.47,10.4,20.23,0.5,13,4
NCGC EXT_IDNPC-7390129,178.275,4.47,1,1,4.47,10.4,20.23,0.5,13,4
acebutolol,336.432,1.53,3,5,-0.68,9.65,87.66,0.56,24,10
JHU- 66,336.432,1.53,3,5,-0.68,9.65,87.66,0.56,24,10
NCGC EXT_IDNPC-7389795,336.432,1.53,3,5,-0.68,9.65,87.66,0.56,24,10
JHU- 8515,167.208,1.56,1,2,1.56,13,46.17,0.56,12,2
NCGC EXT_IDNPC-7389737,167.208,1.56,1,2,1.56,13,46.17,0.56,12,2
JHU- 4785,250.298,1.91,2,3,1.47,7.14,75.27,0.62,18,2
NCGC EXT_IDNPC-7389542,250.298,1.91,2,3,1.47,7.14,75.27,0.62,18,2
JHU- 6316,262.309,2.29,1,3,2.12,7.73,66.48,0.5,19,5
CIC758,262.309,2.29,1,3,2.12,7.73,66.48,0.5,19,5
NCGC EXT_IDNPC-7389505,262.309,2.29,1,3,2.12,7.73,66.48,0.5,19,5
Bexarotene,348.486,6.94,1,2,3.82,4.07,37.3,0.38,26,3
JHU- 1201,348.486,6.94,1,2,3.82,4.07,37.3,0.38,26,3
NCGC EXT_IDNPC-7389126,348.486,6.94,1,2,3.82,4.07,37.3,0.38,26,3
JHU- 5421,285.41,3.66,0,3,2.14,8.91,19.37,0.31,20,3
NCGC EXT_IDNPC-7388661,285.41,3.66,0,3,2.14,8.91,19.37,0.31,20,3
JHU- 357,249.354,2.69,2,3,0.47,9.67,41.49,0.47,18,8
NCGC EXT_IDNPC-7388290,249.354,2.69,2,3,0.47,9.67,41.49,0.47,18,8
JHU- 2077,184.66,4.03,1,1,4.03,9.55,20.23,0.4,12,1
NCGC EXT_IDNPC-7388106,184.66,4.03,1,1,4.03,9.55,20.23,0.4,12,1
JHU- 5207,1139.767,8.25,4,6,1.21,2.03,132.8,0.2,34,9
Iodipamide,1139.767,8.25,4,6,1.21,2.03,132.8,0.2,34,9
NCGC EXT_IDNPC-7386291,1139.767,8.25,4,6,1.21,2.03,132.8,0.2,34,9
JHU- 949,357.322,3.17,4,8,-3.62,3.06,148.65,0.12,26,7
NCGC EXT_IDNPC-7386233,357.322,3.17,4,8,-3.62,3.06,148.65,0.12,26,7
JHU- 7194,302.242,4.39,4,8,-2.49,2.93,139.78,0,22,4
CIC863,302.242,4.39,4,8,-2.49,2.93,139.78,0,22,4
NCGC EXT_IDNPC-7386232,302.242,4.39,4,8,-2.49,2.93,139.78,0,22,4
cromolyn,468.37,1.48,3,11,-5.57,1.61,165.89,0.13,34,8
JHU- 2605,468.37,1.48,3,11,-5.57,1.61,165.89,0.13,34,8
CROMOLYN,468.37,1.48,3,11,-5.57,1.61,165.89,0.13,34,8
NCGC EXT_IDNPC-7386229,468.37,1.48,3,11,-5.57,1.61,165.89,0.13,34,8
JHU- 10455,318.524,0.29,1,1,0.29,13.7,20.23,0.71,23,8
NCGC EXT_IDNPC-7386007,318.524,0.29,1,1,0.29,13.7,20.23,0.71,23,8
JHU- 9605,308.3,2.8,2,6,-0.44,-2.42,100.9,0.07,21,4
NCGC EXT_IDNPC-7385963,308.3,2.8,2,6,-0.44,-2.42,100.9,0.07,21,4
JHU- 5222,305.071,1.45,2,3,-2.05,2.65,66.4,0.11,14,3
NCGC EXT_IDNPC-7385924,305.071,1.45,2,3,-2.05,2.65,66.4,0.11,14,3
meclofenamic acid,296.15,6.09,2,3,2.82,3.79,49.33,0.07,19,3
JHU- 6048,296.15,6.09,2,3,2.82,3.79,49.33,0.07,19,3
NCGC EXT_IDNPC-7385922,296.15,6.09,2,3,2.82,3.79,49.33,0.07,19,3
JHU- 6341,152.149,2.32,1,2,2.32,9.72,46.53,0.12,11,2
NCGC EXT_IDNPC-7385918,152.149,2.32,1,2,2.32,9.72,46.53,0.12,11,2
JHU- 7639,226.276,1.89,2,3,1.64,7.48,75.27,0.73,16,4
CIC907,226.276,1.89,2,3,1.64,7.48,75.27,0.73,16,4
NCGC EXT_IDNPC-7385134,226.276,1.89,2,3,1.64,7.48,75.27,0.73,16,4
fenoprofen,242.274,3.65,1,2,0.47,3.96,46.53,0.13,18,4
JHU- 4046,242.274,3.65,1,2,0.47,3.96,46.53,0.13,18,4
FENOPROFEN,242.274,3.65,1,2,0.47,3.96,46.53,0.13,18,4
NCGC EXT_IDNPC-7385067,242.274,3.65,1,2,0.47,3.96,46.53,0.13,18,4
JHU- 498,137.138,0.8,2,3,-1.8,4.77,63.32,0,10,1
NCGC EXT_IDNPC-7384765,137.138,0.8,2,3,-1.8,4.77,63.32,0,10,1
JHU- 8386,368.496,0.36,0,1,0.36,17.6,35.53,0.43,27,7
NCGC EXT_IDNPC-7384584,368.496,0.36,0,1,0.36,17.6,35.53,0.43,27,7
carmustine,214.05,1.02,1,2,1.02,13.4,61.77,0.8,12,5
JHU- 1803,214.05,1.02,1,2,1.02,13.4,61.77,0.8,12,5
CARMUSTINE,214.05,1.02,1,2,1.02,13.4,61.77,0.8,12,5
NCGC EXT_IDNPC-7384581,214.05,1.02,1,2,1.02,13.4,61.77,0.8,12,5
JHU- 4671,196.967,0.03,0,0,0.03,,0,,1,0
NCGC EXT_IDNPC-7384464,196.967,0.03,0,0,0.03,,0,,1,0
JHU- 5648,204.29,2.36,0,2,2.22,6.98,15.6,0.36,14,1
NCGC EXT_IDNPC-7384408,204.29,2.36,0,2,2.22,6.98,15.6,0.36,14,1
JHU- 1404,334.257,4.42,0,2,2.94,8.87,12.47,0.29,20,6
Bromodiphenhydramine,334.257,4.42,0,2,2.94,8.87,12.47,0.29,20,6
NCGC EXT_IDNPC-7384343,334.257,4.42,0,2,2.94,8.87,12.47,0.29,20,6
isopropamide,353.529,0.14,1,1,0.14,16.3,43.09,0.43,26,8
JHU- 5407,353.529,0.14,1,1,0.14,16.3,43.09,0.43,26,8
Isopropamide,353.529,0.14,1,1,0.14,16.3,43.09,0.43,26,8
NCGC EXT_IDNPC-7384304,353.529,0.14,1,1,0.14,16.3,43.09,0.43,26,8
furosemide,330.74,1.75,3,5,-1.25,4.25,122.63,0.08,21,5
JHU- 4443,330.74,1.75,3,5,-1.25,4.25,122.63,0.08,21,5
Furosemide,330.74,1.75,3,5,-1.25,4.25,122.63,0.08,21,5
NCGC EXT_IDNPC-7384182,330.74,1.75,3,5,-1.25,4.25,122.63,0.08,21,5
JHU- 12393,329.466,1.29,0,1,1.29,4.52,6.25,0.17,25,3
NCGC EXT_IDNPC-7384134,329.466,1.29,0,1,1.29,4.52,6.25,0.17,25,3
JHU- 8503,181.214,-3.47,0,1,-3.47,,33.42,0.33,13,2
NCGC EXT_IDNPC-7384133,181.214,-3.47,0,1,-3.47,,33.42,0.33,13,2
JHU- 2043,168.62,3.28,1,1,3.28,9.34,20.23,0.33,11,0
NCGC EXT_IDNPC-7383408,168.62,3.28,1,1,3.28,9.34,20.23,0.33,11,0
JHU- 4068,287.15,4.76,2,2,2.7,6.05,40.46,0,17,2
NCGC EXT_IDNPC-7382925,287.15,4.76,2,2,2.7,6.05,40.46,0,17,2
JHU- 12225,278.418,-0.15,0,0,-0.15,,0,0.3,21,2
NCGC EXT_IDNPC-7379999,278.418,-0.15,0,0,-0.15,,0,0.3,21,2
JHU- 9639,398.482,2.93,3,3,1.28,9.04,77.23,0.36,29,7
NCGC EXT_IDNPC-7378263,398.482,2.93,3,3,1.28,9.04,77.23,0.36,29,7
JHU- 6331,203.241,1.46,0,2,1.46,19,37.38,0.33,15,1
Methsuximide,203.241,1.46,0,2,1.46,19,37.38,0.33,15,1
NCGC EXT_IDNPC-7378003,203.241,1.46,0,2,1.46,19,37.38,0.33,15,1
JHU- 321,335.47,1.52,1,3,-0.61,9.55,56.41,0.53,23,5
NCGC EXT_IDNPC-7377572,335.47,1.52,1,3,-0.61,9.55,56.41,0.53,23,5
methdilazine,296.43,3.94,0,2,2.52,8.81,6.48,0.33,21,2
JHU- 6294,296.43,3.94,0,2,2.52,8.81,6.48,0.33,21,2
Methdilazine,296.43,3.94,0,2,2.52,8.81,6.48,0.33,21,2
NCGC EXT_IDNPC-7375269,296.43,3.94,0,2,2.52,8.81,6.48,0.33,21,2
JHU- 6313,309.47,5.06,0,1,3.13,9.34,3.24,0.4,22,2
NCGC EXT_IDNPC-7375237,309.47,5.06,0,1,3.13,9.34,3.24,0.4,22,2
Liarozole,308.77,3.48,1,2,3.44,6.47,46.5,0.06,22,3
JHU- 5708,308.77,3.48,1,2,3.44,6.47,46.5,0.06,22,3
NCGC EXT_IDNPC-7375226,308.77,3.48,1,2,3.44,6.47,46.5,0.06,22,3
JHU- 1256,313.397,4.3,1,3,3.14,8.84,49.77,0.32,23,8
NCGC EXT_IDNPC-7374975,313.397,4.3,1,3,3.14,8.84,49.77,0.32,23,8
Diaziquone,364.358,-0.72,2,6,-0.72,10.9,116.82,0.5,26,8
JHU- 3011,364.358,-0.72,2,6,-0.72,10.9,116.82,0.5,26,8
NCGC EXT_IDNPC-7374739,364.358,-0.72,2,6,-0.72,10.9,116.82,0.5,26,8
flecainide,414.348,3.19,2,4,1.01,9.62,59.59,0.59,28,9
JHU- 4173,414.348,3.19,2,4,1.01,9.62,59.59,0.59,28,9
FLECAINIDE,414.348,3.19,2,4,1.01,9.62,59.59,0.59,28,9
NCGC EXT_IDNPC-7374186,414.348,3.19,2,4,1.01,9.62,59.59,0.59,28,9
JHU- 4281,549.7,6.89,0,4,6.54,7.48,36.02,0.55,38,14
530_FDAMDD_v3b,549.7,6.89,0,4,6.54,7.48,36.02,0.55,38,14
NCGC EXT_IDNPC-7372705,549.7,6.89,0,4,6.54,7.48,36.02,0.55,38,14
JHU- 4280,591.78,8.22,0,4,7.88,7.48,36.02,0.59,41,17
Fluphenazine decanoate,591.78,8.22,0,4,7.88,7.48,36.02,0.59,41,17
NCGC EXT_IDNPC-7372564,591.78,8.22,0,4,7.88,7.48,36.02,0.59,41,17
JHU- 901,235.33,4.04,0,1,3.77,7.34,3.24,0.18,18,2
NCGC EXT_IDNPC-7371146,235.33,4.04,0,1,3.77,7.34,3.24,0.18,18,2
JHU- 7389,317.344,3.83,3,3,3.82,9.18,69.56,0.05,24,2
NCGC EXT_IDNPC-7369056,317.344,3.83,3,3,3.82,9.18,69.56,0.05,24,2
JHU- 3631,249.317,3.07,1,3,1.73,8.77,41.62,0.19,19,0
NCGC EXT_IDNPC-7368923,249.317,3.07,1,3,1.73,8.77,41.62,0.19,19,0
JHU- 10443,535.001,1.78,0,0,1.78,,0,1,38,15
NCGC EXT_IDNPC-7368650,535.001,1.78,0,0,1.78,,0,1,38,15
JHU- 7390,348.506,-0.2,1,2,-0.2,11.5,46.53,0.67,25,9
NCGC EXT_IDNPC-7368534,348.506,-0.2,1,2,-0.2,11.5,46.53,0.67,25,9
JHU- 7761,354.38,4.11,2,4,4.1,9.16,83.83,0.05,25,2
NCGC EXT_IDNPC-7367984,354.38,4.11,2,4,4.1,9.16,83.83,0.05,25,2
JHU- 4804,502.745,-0.28,0,0,-0.28,16.2,0,0.33,38,9
NCGC EXT_IDNPC-7366681,502.745,-0.28,0,0,-0.28,16.2,0,0.33,38,9
JHU- 4185,302.329,3.67,1,3,0.95,4.61,54.37,0.1,23,4
CIC524,302.329,3.67,1,3,0.95,4.61,54.37,0.1,23,4
NCGC EXT_IDNPC-7366423,302.329,3.67,1,3,0.95,4.61,54.37,0.1,23,4
JHU- 3214,309.453,4.22,1,2,2.39,9.23,23.47,0.43,23,6
Diphenidol,309.453,4.22,1,2,2.39,9.23,23.47,0.43,23,6
NCGC EXT_IDNPC-7366402,309.453,4.22,1,2,2.39,9.23,23.47,0.43,23,6
JHU- 1679,440.463,5.31,2,7,0.63,3.51,118.81,0.12,33,7
CANDESARTAN,440.463,5.31,2,7,0.63,3.51,118.81,0.12,33,7
NCGC EXT_IDNPC-7366381,440.463,5.31,2,7,0.63,3.51,118.81,0.12,33,7
loratadine,382.89,4.55,0,2,4.55,4.33,42.43,0.36,27,2
JHU- 5848,382.89,4.55,0,2,4.55,4.33,42.43,0.36,27,2
684_FDAMDD_v3b,382.89,4.55,0,2,4.55,4.33,42.43,0.36,27,2
NCGC EXT_IDNPC-7366374,382.89,4.55,0,2,4.55,4.33,42.43,0.36,27,2
JHU- 910,290.41,3.75,0,2,3.12,7.91,16.13,0.35,22,0
97_FDAMDD_v3b,290.41,3.75,0,2,3.12,7.91,16.13,0.35,22,0
NCGC EXT_IDNPC-7366357,290.41,3.75,0,2,3.12,7.91,16.13,0.35,22,0
JHU- 10410,218.205,-0.52,0,3,-0.52,-6.53,78.9,0.67,15,8
NCGC EXT_IDNPC-7366236,218.205,-0.52,0,3,-0.52,-6.53,78.9,0.67,15,8
JHU- 3727,295.379,1.82,2,4,-0.4,9.67,67.79,0.56,21,10
ESMOLOL,295.379,1.82,2,4,-0.4,9.67,67.79,0.56,21,10
NCGC EXT_IDNPC-7366234,295.379,1.82,2,4,-0.4,9.67,67.79,0.56,21,10
JHU- 3090,424.544,2.65,1,4,2.65,3.38,64.33,0.29,32,7
Difenoxin,424.544,2.65,1,4,2.65,3.38,64.33,0.29,32,7
NCGC EXT_IDNPC-7366194,424.544,2.65,1,4,2.65,3.38,64.33,0.29,32,7
JHU- 2020,165.39,0.69,2,2,0.69,9.51,40.46,1,7,1
NCGC EXT_IDNPC-7366165,165.39,0.69,2,2,0.69,9.51,40.46,1,7,1
mesna,142.19,-0.4,2,3,-2.78,-1.16,54.37,1,7,2
JHU- 6212,142.19,-0.4,2,3,-2.78,-1.16,54.37,1,7,2
Mesna,142.19,-0.4,2,3,-2.78,-1.16,54.37,1,7,2
NCGC EXT_IDNPC-7366088,142.19,-0.4,2,3,-2.78,-1.16,54.37,1,7,2
JHU- 4737,270.08,1.76,1,4,-1.62,3.47,74.68,0,15,2
NCGC EXT_IDNPC-7365992,270.08,1.76,1,4,-1.62,3.47,74.68,0,15,2
JHU- 7811,214.268,1.92,2,3,1.85,6.61,45.15,0.15,16,4
NCGC EXT_IDNPC-7365859,214.268,1.92,2,3,1.85,6.61,45.15,0.15,16,4
JHU- 10426,449.924,5.07,2,2,3.86,6.16,49.33,0,19,2
NCGC EXT_IDNPC-7365805,449.924,5.07,2,2,3.86,6.16,49.33,0,19,2
dicumarol,336.299,1.94,2,4,-2.26,4.66,93.06,0.05,25,2
JHU- 3060,336.299,1.94,2,4,-2.26,4.66,93.06,0.05,25,2
DICUMAROL,336.299,1.94,2,4,-2.26,4.66,93.06,0.05,25,2
NCGC EXT_IDNPC-7365789,336.299,1.94,2,4,-2.26,4.66,93.06,0.05,25,2
amantadine,151.253,1.47,1,1,-1.38,10.7,26.02,1,11,0
JHU- 428,151.253,1.47,1,1,-1.38,10.7,26.02,1,11,0
CIC42,151.253,1.47,1,1,-1.38,10.7,26.02,1,11,0
NCGC EXT_IDNPC-7365220,151.253,1.47,1,1,-1.38,10.7,26.02,1,11,0
femara,285.31,2.94,0,4,2.94,1.89,78.29,0.06,22,3
JHU- 5633,285.31,2.94,0,4,2.94,1.89,78.29,0.06,22,3
LETROZOLE,285.31,2.94,0,4,2.94,1.89,78.29,0.06,22,3
NCGC EXT_IDNPC-7364431,285.31,2.94,0,4,2.94,1.89,78.29,0.06,22,3
JHU- 6318,345.87,4.76,0,3,3.79,8.32,21.7,0.4,24,5
NCGC EXT_IDNPC-7363909,345.87,4.76,0,3,3.79,8.32,21.7,0.4,24,5
JHU- 6214,386.57,3.57,0,3,2.16,8.8,23.55,0.43,26,4
MESORIDAZINE,386.57,3.57,0,3,2.16,8.8,23.55,0.43,26,4
NCGC EXT_IDNPC-7363168,386.57,3.57,0,3,2.16,8.8,23.55,0.43,26,4
mephentermine,163.264,2.52,1,1,-0.22,10.3,12.03,0.45,12,3
JHU- 6147,163.264,2.52,1,1,-0.22,10.3,12.03,0.45,12,3
Mephentermine,163.264,2.52,1,1,-0.22,10.3,12.03,0.45,12,3
NCGC EXT_IDNPC-7363162,163.264,2.52,1,1,-0.22,10.3,12.03,0.45,12,3
JHU- 7775,149.237,2.19,1,1,-0.52,10.2,12.03,0.4,11,3
NCGC EXT_IDNPC-7363088,149.237,2.19,1,1,-0.52,10.2,12.03,0.4,11,3
JHU- 4844,179.219,1.44,1,3,-1.11,10.1,30.49,0.4,13,3
NCGC EXT_IDNPC-7363062,179.219,1.44,1,3,-1.11,10.1,30.49,0.4,13,3
JHU- 3311,379.5,4.21,0,4,2.48,9.12,38.77,0.46,28,6
NCGC EXT_IDNPC-7362895,379.5,4.21,0,4,2.48,9.12,38.77,0.46,28,6
meloxicam,351.4,1.6,2,5,-1.1,4.47,99.6,0.14,23,2
JHU- 6107,351.4,1.6,2,5,-1.1,4.47,99.6,0.14,23,2
NCGC EXT_IDNPC-7362817,351.4,1.6,2,5,-1.1,4.47,99.6,0.14,23,2
JHU- 1522,317.476,6.17,0,1,4.51,9.06,3.24,0.3,24,5
NCGC EXT_IDNPC-7362754,317.476,6.17,0,1,4.51,9.06,3.24,0.3,24,5
JHU- 997,197.66,1.69,1,1,1.69,15,29.1,0.3,13,4
NCGC EXT_IDNPC-7362442,197.66,1.69,1,1,1.69,15,29.1,0.3,13,4
methimazole,114.17,0.75,1,0,0.75,10.4,15.27,0.25,7,0
JHU- 6306,114.17,0.75,1,0,0.75,10.4,15.27,0.25,7,0
METHIMAZOLE,114.17,0.75,1,0,0.75,10.4,15.27,0.25,7,0
NCGC EXT_IDNPC-7362389,114.17,0.75,1,0,0.75,10.4,15.27,0.25,7,0
guaifenesin,198.218,0.34,2,4,0.34,13.6,58.92,0.4,14,5
JHU- 4710,198.218,0.34,2,4,0.34,13.6,58.92,0.4,14,5
Guaifenesin,198.218,0.34,2,4,0.34,13.6,58.92,0.4,14,5
NCGC EXT_IDNPC-7362368,198.218,0.34,2,4,0.34,13.6,58.92,0.4,14,5
Cyclizine,266.388,3.55,0,2,2.68,8.2,6.48,0.33,20,3
JHU- 2647,266.388,3.55,0,2,2.68,8.2,6.48,0.33,20,3
Cyclizine,266.388,3.55,0,2,2.68,8.2,6.48,0.33,20,3
NCGC EXT_IDNPC-7362197,266.388,3.55,0,2,2.68,8.2,6.48,0.33,20,3
Bromhexine,376.136,4.42,1,2,2.59,9.23,29.26,0.57,18,3
JHU- 1398,376.136,4.42,1,2,2.59,9.23,29.26,0.57,18,3
Bromhexine,376.136,4.42,1,2,2.59,9.23,29.26,0.57,18,3
NCGC EXT_IDNPC-7362141,376.136,4.42,1,2,2.59,9.23,29.26,0.57,18,3
JHU- 4496,103.121,-2.89,2,3,-2.89,4.53,63.32,0.75,7,3
NCGC EXT_IDNPC-7362127,103.121,-2.89,2,3,-2.89,4.53,63.32,0.75,7,3
ifosfamide,261.08,0.1,1,1,0.1,14.6,41.57,1,14,5
JHU- 5012,261.08,0.1,1,1,0.1,14.6,41.57,1,14,5
NCGC EXT_IDNPC-7361943,261.08,0.1,1,1,0.1,14.6,41.57,1,14,5
JHU- 618,256.09,1.68,1,4,1.68,4.26,44.7,0.2,16,0
NCGC EXT_IDNPC-7361926,256.09,1.68,1,4,1.68,4.26,44.7,0.2,16,0
clozapine,326.83,3.4,1,4,3.12,7.35,30.87,0.28,23,0
JHU- 2452,326.83,3.4,1,4,3.12,7.35,30.87,0.28,23,0
CIC320,326.83,3.4,1,4,3.12,7.35,30.87,0.28,23,0
NCGC EXT_IDNPC-7361839,326.83,3.4,1,4,3.12,7.35,30.87,0.28,23,0
JHU- 648,352.478,3.64,1,3,2.15,8.88,55.56,0.41,26,7
Anileridine,352.478,3.64,1,3,2.15,8.88,55.56,0.41,26,7
NCGC EXT_IDNPC-7361373,352.478,3.64,1,3,2.15,8.88,55.56,0.41,26,7
loperamide,477.05,4.77,1,3,2.77,9.41,43.78,0.34,34,7
JHU- 5838,477.05,4.77,1,3,2.77,9.41,43.78,0.34,34,7
NCGC EXT_IDNPC-7361193,477.05,4.77,1,3,2.77,9.41,43.78,0.34,34,7
JHU- 5885,340.49,5.02,1,3,3.14,9.28,32.34,0.35,24,6
Lucanthone,340.49,5.02,1,3,3.14,9.28,32.34,0.35,24,6
NCGC EXT_IDNPC-7361024,340.49,5.02,1,3,3.14,9.28,32.34,0.35,24,6
JHU- 2610,203.285,3.09,0,1,3.09,-0.6,20.31,0.31,15,3
